measurement,observed_development_records,missing_development_records,numeric_input_retained,numeric_exclusion_reason,missingness_flag_retained
measurement_084,1252,1,True,,True
measurement_085,1242,11,True,,True
measurement_086,179,1074,True,,True
measurement_087,1253,0,True,,False
measurement_088,1253,0,True,,False
measurement_089,1253,0,True,,False
measurement_090,1212,41,True,,True
measurement_091,1212,41,True,,True
measurement_092,1248,5,True,,True
measurement_093,1251,2,True,,True
measurement_094,1251,2,True,,True
measurement_095,1248,5,True,,True
measurement_096,1248,5,True,,True
measurement_097,1248,5,True,,True
measurement_098,1248,5,False,constant_observed_in_training,True
measurement_099,1248,5,True,,True
measurement_100,1248,5,True,,True
measurement_101,1248,5,True,,True
measurement_102,1248,5,True,,True
measurement_103,1248,5,True,,True
measurement_104,1251,2,True,,True
measurement_105,1251,2,True,,True
measurement_106,1248,5,True,,True
measurement_107,1248,5,True,,True
measurement_108,1248,5,True,,True
measurement_109,1248,5,True,,True
measurement_110,444,809,True,,True
measurement_111,444,809,True,,True
measurement_112,444,809,True,,True
measurement_113,682,571,True,,True
measurement_114,1253,0,True,,False
measurement_115,1253,0,True,,False
measurement_116,1253,0,True,,False
measurement_117,1253,0,True,,False
measurement_118,1253,0,True,,False
measurement_119,1231,22,True,,True
measurement_120,1253,0,True,,False
measurement_121,1253,0,True,,False
measurement_122,1245,8,True,,True
measurement_123,1245,8,True,,True
measurement_124,1245,8,True,,True
measurement_125,1245,8,True,,True
measurement_126,1245,8,True,,True
measurement_127,1245,8,True,,True
measurement_128,1245,8,True,,True
measurement_129,1245,8,True,,True
measurement_130,1245,8,True,,True
measurement_131,1245,8,True,,True
measurement_132,1245,8,True,,True
measurement_133,1246,7,True,,True
measurement_134,1246,7,True,,True
measurement_135,1246,7,True,,True
measurement_136,1250,3,True,,True
measurement_137,1249,4,True,,True
measurement_138,1250,3,True,,True
measurement_139,1242,11,True,,True
measurement_140,1242,11,True,,True
measurement_141,1242,11,True,,True
measurement_142,1242,11,False,constant_observed_in_training,True
measurement_143,1242,11,True,,True
measurement_144,1245,8,True,,True
measurement_145,1251,2,True,,True
measurement_146,1251,2,True,,True
measurement_147,1251,2,True,,True
measurement_148,1251,2,True,,True
measurement_149,1251,2,True,,True
measurement_150,1251,2,False,constant_observed_in_training,True
measurement_151,1251,2,True,,True
measurement_152,1251,2,True,,True
measurement_153,1251,2,True,,True
measurement_154,1251,2,True,,True
measurement_155,1251,2,True,,True
measurement_156,1246,7,True,,True
measurement_157,1253,0,True,,False
measurement_158,111,1142,True,,True
measurement_159,111,1142,True,,True
measurement_160,1251,2,True,,True
measurement_161,1251,2,True,,True
measurement_162,1251,2,True,,True
measurement_163,1251,2,True,,True
measurement_164,1251,2,True,,True
measurement_165,1251,2,True,,True
measurement_166,1251,2,True,,True
measurement_167,1251,2,True,,True
measurement_168,1251,2,True,,True
measurement_169,1251,2,True,,True
measurement_170,1251,2,True,,True
measurement_171,1253,0,True,,False
measurement_172,1253,0,True,,False
measurement_173,1253,0,True,,False
measurement_174,1253,0,True,,False
measurement_175,1253,0,True,,False
measurement_176,1253,0,True,,False
measurement_177,1253,0,True,,False
measurement_178,1253,0,True,,False
measurement_179,1236,17,False,constant_observed_in_training,True
measurement_180,1252,1,False,constant_observed_in_training,True
measurement_181,1252,1,True,,True
measurement_182,1252,1,True,,True
measurement_183,1252,1,True,,True
measurement_184,1252,1,True,,True
measurement_185,1252,1,True,,True
measurement_186,1252,1,True,,True
measurement_187,1252,1,False,constant_observed_in_training,True
measurement_188,1252,1,True,,True
measurement_189,1252,1,True,,True
measurement_190,1252,1,False,constant_observed_in_training,True
measurement_191,1250,3,False,constant_observed_in_training,True
measurement_192,1250,3,False,constant_observed_in_training,True
measurement_193,1250,3,False,constant_observed_in_training,True
measurement_194,1250,3,False,constant_observed_in_training,True
measurement_195,1250,3,False,constant_observed_in_training,True
measurement_196,1250,3,True,,True
measurement_197,1248,5,True,,True
measurement_198,1249,4,True,,True
measurement_199,1249,4,True,,True
measurement_200,1249,4,True,,True
measurement_201,1248,5,True,,True
measurement_202,1248,5,True,,True
measurement_203,1248,5,True,,True
measurement_204,1249,4,True,,True
measurement_205,1249,4,True,,True
measurement_206,1249,4,True,,True
measurement_207,1249,4,False,constant_observed_in_training,True
measurement_208,1249,4,True,,True
measurement_209,1249,4,True,,True
measurement_210,1249,4,False,constant_observed_in_training,True
measurement_211,1231,22,True,,True
measurement_212,1231,22,True,,True
measurement_213,1231,22,True,,True
measurement_214,1231,22,True,,True
measurement_215,1231,22,True,,True
measurement_216,1231,22,True,,True
measurement_217,1231,22,True,,True
measurement_218,1231,22,True,,True
measurement_219,1252,1,True,,True
measurement_220,1242,11,True,,True
measurement_221,179,1074,True,,True
measurement_222,1253,0,True,,False
measurement_223,1253,0,True,,False
measurement_224,1253,0,True,,False
measurement_225,1212,41,True,,True
measurement_226,1212,41,True,,True
measurement_227,1248,5,False,constant_observed_in_training,True
measurement_228,1251,2,True,,True
measurement_229,1251,2,True,,True
measurement_230,1248,5,False,constant_observed_in_training,True
measurement_231,1248,5,False,constant_observed_in_training,True
measurement_232,1248,5,False,constant_observed_in_training,True
measurement_233,1248,5,False,constant_observed_in_training,True
measurement_234,1248,5,False,constant_observed_in_training,True
measurement_235,1248,5,False,constant_observed_in_training,True
measurement_236,1248,5,False,constant_observed_in_training,True
measurement_237,1248,5,False,constant_observed_in_training,True
measurement_238,1248,5,False,constant_observed_in_training,True
measurement_239,1251,2,True,,True
measurement_240,1251,2,True,,True
measurement_241,1248,5,False,constant_observed_in_training,True
measurement_242,1248,5,False,constant_observed_in_training,True
measurement_243,1248,5,False,constant_observed_in_training,True
measurement_244,1248,5,False,constant_observed_in_training,True
measurement_245,444,809,True,,True
measurement_246,444,809,True,,True
measurement_247,444,809,True,,True
measurement_248,682,571,True,,True
measurement_249,1253,0,True,,False
measurement_250,1253,0,True,,False
measurement_251,1253,0,True,,False
measurement_252,1253,0,True,,False
measurement_253,1253,0,True,,False
measurement_254,1231,22,True,,True
measurement_255,1253,0,True,,False
measurement_256,1253,0,True,,False
measurement_257,1245,8,False,constant_observed_in_training,True
measurement_258,1245,8,False,constant_observed_in_training,True
measurement_259,1245,8,False,constant_observed_in_training,True
measurement_260,1245,8,False,constant_observed_in_training,True
measurement_261,1245,8,False,constant_observed_in_training,True
measurement_262,1245,8,False,constant_observed_in_training,True
measurement_263,1245,8,False,constant_observed_in_training,True
measurement_264,1245,8,False,constant_observed_in_training,True
measurement_265,1245,8,False,constant_observed_in_training,True
measurement_266,1245,8,False,constant_observed_in_training,True
measurement_267,1245,8,False,constant_observed_in_training,True
measurement_268,1246,7,True,,True
measurement_269,1246,7,True,,True
measurement_270,1246,7,True,,True
measurement_271,1250,3,True,,True
measurement_272,1249,4,True,,True
measurement_273,1250,3,True,,True
measurement_274,1242,11,True,,True
measurement_275,1242,11,True,,True
measurement_276,1242,11,True,,True
measurement_277,1242,11,False,constant_observed_in_training,True
measurement_278,1242,11,True,,True
measurement_279,1245,8,True,,True
measurement_280,1251,2,True,,True
measurement_281,1251,2,True,,True
measurement_282,1251,2,True,,True
measurement_283,1251,2,True,,True
measurement_284,1251,2,True,,True
measurement_285,1251,2,False,constant_observed_in_training,True
measurement_286,1251,2,True,,True
measurement_287,1251,2,True,,True
measurement_288,1251,2,True,,True
measurement_289,1251,2,True,,True
measurement_290,1251,2,True,,True
measurement_291,1246,7,True,,True
measurement_292,1253,0,True,,False
measurement_293,111,1142,True,,True
measurement_294,111,1142,True,,True
measurement_295,1251,2,True,,True
measurement_296,1251,2,True,,True
measurement_297,1251,2,True,,True
measurement_298,1251,2,True,,True
measurement_299,1251,2,True,,True
measurement_300,1251,2,True,,True
measurement_301,1251,2,True,,True
measurement_302,1251,2,True,,True
measurement_303,1251,2,True,,True
measurement_304,1251,2,True,,True
measurement_305,1251,2,True,,True
measurement_306,1253,0,True,,False
measurement_307,1253,0,True,,False
measurement_308,1253,0,True,,False
measurement_309,1253,0,True,,False
measurement_310,1253,0,True,,False
measurement_311,1253,0,True,,False
measurement_312,1253,0,True,,False
measurement_313,1253,0,True,,False
measurement_314,1236,17,False,constant_observed_in_training,True
measurement_315,1236,17,False,constant_observed_in_training,True
measurement_316,1252,1,False,constant_observed_in_training,True
measurement_317,1252,1,True,,True
measurement_318,1252,1,True,,True
measurement_319,1252,1,True,,True
measurement_320,1252,1,True,,True
measurement_321,1252,1,True,,True
measurement_322,1252,1,True,,True
measurement_323,1252,1,False,constant_observed_in_training,True
measurement_324,1252,1,True,,True
measurement_325,1252,1,True,,True
measurement_326,1252,1,False,constant_observed_in_training,True
measurement_327,1250,3,False,constant_observed_in_training,True
measurement_328,1250,3,False,constant_observed_in_training,True
measurement_329,1250,3,False,constant_observed_in_training,True
measurement_330,1250,3,False,constant_observed_in_training,True
measurement_331,1250,3,False,constant_observed_in_training,True
measurement_332,1250,3,True,,True
measurement_333,1248,5,True,,True
measurement_334,1249,4,True,,True
measurement_335,1249,4,True,,True
measurement_336,1249,4,True,,True
measurement_337,1248,5,True,,True
measurement_338,1248,5,True,,True
measurement_339,1248,5,True,,True
measurement_340,1249,4,True,,True
measurement_341,1249,4,True,,True
measurement_342,1249,4,True,,True
measurement_343,1249,4,False,constant_observed_in_training,True
measurement_344,1249,4,True,,True
measurement_345,1249,4,True,,True
measurement_346,619,634,True,,True
measurement_347,619,634,True,,True
measurement_348,1249,4,False,constant_observed_in_training,True
measurement_349,1231,22,True,,True
measurement_350,1231,22,True,,True
measurement_351,1231,22,True,,True
measurement_352,1231,22,True,,True
measurement_353,1231,22,True,,True
measurement_354,1231,22,True,,True
measurement_355,1231,22,True,,True
measurement_356,1231,22,True,,True
measurement_357,1252,1,True,,True
measurement_358,1242,11,True,,True
measurement_359,179,1074,True,,True
measurement_360,1253,0,True,,False
measurement_361,1253,0,True,,False
measurement_362,1253,0,True,,False
measurement_363,1212,41,True,,True
measurement_364,1212,41,True,,True
measurement_365,1248,5,False,constant_observed_in_training,True
measurement_366,1251,2,True,,True
measurement_367,1251,2,True,,True
measurement_368,1248,5,True,,True
measurement_369,1248,5,True,,True
measurement_370,1248,5,False,constant_observed_in_training,True
measurement_371,1248,5,False,constant_observed_in_training,True
measurement_372,1248,5,False,constant_observed_in_training,True
measurement_373,1248,5,False,constant_observed_in_training,True
measurement_374,1248,5,False,constant_observed_in_training,True
measurement_375,1248,5,False,constant_observed_in_training,True
measurement_376,1248,5,False,constant_observed_in_training,True
measurement_377,1251,2,True,,True
measurement_378,1251,2,True,,True
measurement_379,1248,5,False,constant_observed_in_training,True
measurement_380,1248,5,False,constant_observed_in_training,True
measurement_381,1248,5,False,constant_observed_in_training,True
measurement_382,1248,5,False,constant_observed_in_training,True
measurement_383,444,809,True,,True
measurement_384,444,809,True,,True
measurement_385,444,809,True,,True
measurement_386,682,571,True,,True
measurement_387,1253,0,True,,False
measurement_388,1253,0,True,,False
measurement_389,1253,0,True,,False
measurement_390,1253,0,True,,False
measurement_391,1253,0,True,,False
measurement_392,1231,22,True,,True
measurement_393,1253,0,True,,False
measurement_394,1253,0,True,,False
measurement_395,1245,8,False,constant_observed_in_training,True
measurement_396,1245,8,False,constant_observed_in_training,True
measurement_397,1245,8,False,constant_observed_in_training,True
measurement_398,1245,8,False,constant_observed_in_training,True
measurement_399,1245,8,False,constant_observed_in_training,True
measurement_400,1245,8,False,constant_observed_in_training,True
measurement_401,1245,8,False,constant_observed_in_training,True
measurement_402,1245,8,False,constant_observed_in_training,True
measurement_403,1245,8,False,constant_observed_in_training,True
measurement_404,1245,8,False,constant_observed_in_training,True
measurement_405,1245,8,False,constant_observed_in_training,True
measurement_406,1246,7,True,,True
measurement_407,1246,7,True,,True
measurement_408,1246,7,True,,True
measurement_409,1250,3,True,,True
measurement_410,1249,4,True,,True
measurement_411,1250,3,True,,True
measurement_412,1242,11,True,,True
measurement_413,1242,11,True,,True
measurement_414,1242,11,True,,True
measurement_415,1242,11,False,constant_observed_in_training,True
measurement_416,1242,11,True,,True
measurement_417,1245,8,True,,True
measurement_418,1251,2,True,,True
measurement_419,1251,2,True,,True
measurement_420,1251,2,True,,True
measurement_421,1251,2,True,,True
measurement_422,1251,2,True,,True
measurement_423,1251,2,False,constant_observed_in_training,True
measurement_424,1251,2,True,,True
measurement_425,1251,2,True,,True
measurement_426,1251,2,True,,True
measurement_427,1251,2,True,,True
measurement_428,1251,2,True,,True
measurement_429,1246,7,True,,True
measurement_430,1253,0,True,,False
measurement_431,1251,2,True,,True
measurement_432,1251,2,True,,True
measurement_433,1251,2,True,,True
measurement_434,1251,2,True,,True
measurement_435,1251,2,True,,True
measurement_436,1251,2,True,,True
measurement_437,1251,2,True,,True
measurement_438,1251,2,True,,True
measurement_439,1251,2,True,,True
measurement_440,1251,2,True,,True
measurement_441,1251,2,True,,True
measurement_442,1253,0,True,,False
measurement_443,1253,0,True,,False
measurement_444,1253,0,True,,False
measurement_445,1253,0,True,,False
measurement_446,1253,0,True,,False
measurement_447,1253,0,True,,False
measurement_448,1253,0,True,,False
measurement_449,1253,0,True,,False
measurement_450,1236,17,False,constant_observed_in_training,True
measurement_451,1236,17,False,constant_observed_in_training,True
measurement_452,1252,1,False,constant_observed_in_training,True
measurement_453,1252,1,True,,True
measurement_454,1252,1,True,,True
measurement_455,1252,1,True,,True
measurement_456,1252,1,True,,True
measurement_457,1252,1,True,,True
measurement_458,1252,1,True,,True
measurement_459,1252,1,False,constant_observed_in_training,True
measurement_460,1252,1,True,,True
measurement_461,1252,1,True,,True
measurement_462,1252,1,False,constant_observed_in_training,True
measurement_463,1250,3,False,constant_observed_in_training,True
measurement_464,1250,3,False,constant_observed_in_training,True
measurement_465,1250,3,False,constant_observed_in_training,True
measurement_466,1250,3,False,constant_observed_in_training,True
measurement_467,1250,3,False,constant_observed_in_training,True
measurement_468,1250,3,True,,True
measurement_469,1248,5,True,,True
measurement_470,1249,4,True,,True
measurement_471,1249,4,True,,True
measurement_472,1249,4,True,,True
measurement_473,1248,5,True,,True
measurement_474,1248,5,True,,True
measurement_475,1248,5,True,,True
measurement_476,1249,4,True,,True
measurement_477,1249,4,True,,True
measurement_478,1249,4,True,,True
measurement_479,1249,4,False,constant_observed_in_training,True
measurement_480,1249,4,True,,True
measurement_481,1249,4,True,,True
measurement_482,1249,4,False,constant_observed_in_training,True
measurement_483,1231,22,True,,True
measurement_484,1231,22,True,,True
measurement_485,1231,22,True,,True
measurement_486,1231,22,True,,True
measurement_487,1231,22,True,,True
measurement_488,1231,22,True,,True
measurement_489,1231,22,True,,True
measurement_490,1231,22,True,,True
measurement_491,1252,1,True,,True
measurement_492,1242,11,True,,True
measurement_493,179,1074,True,,True
measurement_494,1253,0,True,,False
measurement_495,1253,0,True,,False
measurement_496,1253,0,True,,False
measurement_497,1212,41,True,,True
measurement_498,1212,41,True,,True
measurement_499,1248,5,False,constant_observed_in_training,True
measurement_500,1251,2,True,,True
measurement_501,1251,2,True,,True
measurement_502,1248,5,False,constant_observed_in_training,True
measurement_503,1248,5,False,constant_observed_in_training,True
measurement_504,1248,5,False,constant_observed_in_training,True
measurement_505,1248,5,False,constant_observed_in_training,True
measurement_506,1248,5,False,constant_observed_in_training,True
measurement_507,1248,5,False,constant_observed_in_training,True
measurement_508,1248,5,False,constant_observed_in_training,True
measurement_509,1248,5,False,constant_observed_in_training,True
measurement_510,1248,5,False,constant_observed_in_training,True
measurement_511,1251,2,True,,True
measurement_512,1251,2,True,,True
measurement_513,1248,5,False,constant_observed_in_training,True
measurement_514,1248,5,False,constant_observed_in_training,True
measurement_515,1248,5,False,constant_observed_in_training,True
measurement_516,1248,5,False,constant_observed_in_training,True
measurement_517,444,809,True,,True
measurement_518,444,809,True,,True
measurement_519,444,809,True,,True
measurement_520,682,571,True,,True
measurement_521,1253,0,True,,False
measurement_522,1253,0,True,,False
measurement_523,1253,0,True,,False
measurement_524,1253,0,True,,False
measurement_525,1253,0,True,,False
measurement_526,1231,22,True,,True
measurement_527,1253,0,True,,False
measurement_528,1253,0,True,,False
measurement_529,1245,8,False,constant_observed_in_training,True
measurement_530,1245,8,False,constant_observed_in_training,True
measurement_531,1245,8,False,constant_observed_in_training,True
measurement_532,1245,8,False,constant_observed_in_training,True
measurement_533,1245,8,False,constant_observed_in_training,True
measurement_534,1245,8,False,constant_observed_in_training,True
measurement_535,1245,8,False,constant_observed_in_training,True
measurement_536,1245,8,False,constant_observed_in_training,True
measurement_537,1245,8,False,constant_observed_in_training,True
measurement_538,1245,8,False,constant_observed_in_training,True
measurement_539,1245,8,False,constant_observed_in_training,True
measurement_540,1246,7,True,,True
measurement_541,1246,7,True,,True
measurement_542,1246,7,True,,True
measurement_543,1251,2,True,,True
measurement_544,1251,2,True,,True
measurement_545,1251,2,True,,True
measurement_546,1251,2,True,,True
measurement_547,1042,211,True,,True
measurement_548,1042,211,True,,True
measurement_549,1042,211,True,,True
measurement_550,1042,211,True,,True
measurement_551,1042,211,True,,True
measurement_552,1042,211,True,,True
measurement_553,1042,211,True,,True
measurement_554,1042,211,True,,True
measurement_555,1042,211,True,,True
measurement_556,1042,211,True,,True
measurement_557,1042,211,True,,True
measurement_558,1042,211,True,,True
measurement_559,1252,1,True,,True
measurement_560,1252,1,True,,True
measurement_561,1252,1,True,,True
measurement_562,1252,1,True,,True
measurement_563,1033,220,True,,True
measurement_564,1033,220,True,,True
measurement_565,1033,220,True,,True
measurement_566,1033,220,True,,True
measurement_567,1033,220,True,,True
measurement_568,1033,220,True,,True
measurement_569,1033,220,True,,True
measurement_570,1033,220,True,,True
measurement_571,1253,0,True,,False
measurement_572,1253,0,True,,False
measurement_573,1253,0,True,,False
measurement_574,1253,0,True,,False
measurement_575,1253,0,True,,False
measurement_576,1253,0,True,,False
measurement_577,1253,0,True,,False
measurement_578,1253,0,True,,False
measurement_579,496,757,True,,True
measurement_580,496,757,True,,True
measurement_581,496,757,True,,True
measurement_582,496,757,True,,True
measurement_583,1252,1,True,,True
measurement_584,1252,1,True,,True
measurement_585,1252,1,True,,True
measurement_586,1252,1,True,,True
measurement_587,1252,1,True,,True
measurement_588,1252,1,True,,True
measurement_589,1252,1,True,,True
measurement_590,1252,1,True,,True
